Rank,Team,Country,"Value in
millions","% change
on year","Debt as
% of value",Revenue ($M)
1,Real Madrid,Spain,"4,239",4,1,896
2,Barcelona,Spain,"4,205",-1,8,824
3,Manchester United,England,"3,808",-8,19,795
4,Bayern Munich,Germany,"3,024",-1,0,751
5,Manchester City,England,"2,688",9,0,678
6,Chelsea,England,"2,576",25,0,597
7,Arsenal,England,"2,268",1,11,520
8,Liverpool,England,"2,183",12,3,613
9,Tottenham Hotspur,England,"1,624",4,4,511
10,Juventus,Italy,"1,512",3,9,480
11,Paris Saint-Germain,France,"1,092",12,0,646
12,Atlético Madrid,Spain,953,12,23,363
13,Borussia Dortmund,Germany,896,-1,0,379
14,Schalke 04,Germany,683,-3,12,291
15,Internazionale,Italy,672,11,50,335
16,Roma,Italy,622,1,41,298
17,West Ham United,England,616,-18,10,236
18,Milan,Italy,583,-5,42,248
19,Everton,England,476,32,0,254
20,Newcastle United,England,381,-,0,240
